Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28.0,60.29
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,3.0,18.02
164.2,0.0,200.1,181.2,12.6,849.3,846.0,28.0,15.09
382.0,0.0,0.0,185.0,0.0,1047.0,739.0,7.0,24.0
277.1,0.0,97.4,160.6,11.8,973.9,875.6,3.0,23.14
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,28.0,28.47
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,3.0,21.02
236.0,0.0,0.0,193.0,0.0,968.0,885.0,180.0,24.1
318.8,212.5,0.0,155.7,14.3,852.1,880.4,3.0,25.2
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,7.0,42.42
122.6,183.9,0.0,203.5,0.0,958.2,800.1,28.0,24.29
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,28.0,67.31
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3.0,33.4
381.4,0.0,0.0,185.7,0.0,1104.6,784.3,28.0,22.49
531.3,0.0,0.0,141.8,28.2,852.1,893.7,7.0,46.9
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,120.0,38.7
266.0,114.0,0.0,228.0,0.0,932.0,670.0,270.0,51.73
252.1,97.1,75.6,193.8,8.3,835.5,821.4,28.0,33.4
275.1,0.0,121.4,159.5,9.9,1053.6,777.5,3.0,23.8
228.0,342.1,0.0,185.7,0.0,955.8,674.3,7.0,21.92
425.0,106.3,0.0,151.4,18.6,936.0,803.7,3.0,36.3
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,14.0,29.93
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,7.0,17.44
375.0,93.8,0.0,126.6,23.4,852.1,992.6,56.0,60.2
238.1,0.0,94.1,186.7,7.0,949.9,847.0,3.0,19.93
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28.0,71.3
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,360.0,42.13
297.0,0.0,0.0,186.0,0.0,1040.0,734.0,7.0,30.96
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,120.0,40.86
149.0,153.0,194.0,192.0,8.0,935.0,623.0,28.0,24.58
356.0,119.0,0.0,160.0,9.0,1061.0,657.0,28.0,59.0
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,7.0,33.21
339.0,0.0,0.0,197.0,0.0,968.0,781.0,7.0,20.97
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,100.0,37.68
249.1,0.0,98.8,158.1,12.8,987.8,889.0,56.0,42.03
153.6,144.2,112.3,220.1,10.1,923.2,657.9,28.0,16.5
374.0,189.2,0.0,170.1,10.1,926.1,756.7,28.0,61.09
297.8,137.2,106.9,201.3,6.0,878.4,655.3,28.0,53.52
331.0,0.0,0.0,192.0,0.0,879.0,825.0,3.0,13.52
313.3,145.0,0.0,178.5,8.0,867.2,824.0,28.0,40.93
288.0,192.0,0.0,192.0,0.0,932.0,717.8,28.0,38.8
318.8,212.5,0.0,155.7,14.3,852.1,880.4,56.0,66.1
388.6,97.1,0.0,157.9,12.1,852.1,925.7,7.0,34.9
305.3,203.5,0.0,203.5,0.0,965.4,631.0,90.0,54.6
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,28.0,55.51
375.0,93.8,0.0,126.6,23.4,852.1,992.6,28.0,56.7
436.0,0.0,0.0,218.0,0.0,838.4,719.7,28.0,23.85
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,56.0,43.5
190.3,0.0,125.2,166.6,9.9,1079.0,798.9,14.0,19.42
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,7.0,18.13
166.0,259.7,0.0,183.2,12.7,858.8,826.8,28.0,37.92
153.0,102.0,0.0,192.0,0.0,888.0,943.1,7.0,8.37
233.8,0.0,94.6,197.9,4.6,947.0,852.2,28.0,22.84
424.0,22.0,132.0,178.0,8.5,822.0,750.0,56.0,65.7
152.0,178.0,139.0,168.0,18.0,944.0,695.0,28.0,36.35
102.0,153.0,0.0,192.0,0.0,887.0,942.0,90.0,25.46
332.5,142.5,0.0,228.0,0.0,932.0,594.0,180.0,39.78
439.0,177.0,0.0,186.0,11.1,884.9,707.9,3.0,39.3
323.7,282.8,0.0,183.8,10.3,942.7,659.9,56.0,80.2
135.0,105.0,193.0,196.0,6.0,965.0,643.0,28.0,21.91
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,28.0,33.27
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,3.0,17.57
190.3,0.0,125.2,166.6,9.9,1079.0,798.9,28.0,24.85
318.8,212.5,0.0,155.7,14.3,852.1,880.4,28.0,55.5
